candidate_id,rank,score,reasoning
CAND_0081846,1,1.21510470,"Razorpay role Lead AI Engineer; 6.7 years total. Relevant fit comes from Lead AI Engineer at Razorpay: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Additional evidence: Senior Machine Learning Engineer at Paytm: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). Rank is based on shipped retrieval/ranking work rather than skill-list claims."
CAND_0041611,2,1.21246417,"6.4 years in the profile and currently Staff Machine Learning Engineer at Locobuzz. Key career evidence is Staff Machine Learning Engineer at Locobuzz: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. The profile also shows Senior Applied Scientist at Genpact AI: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). Main concern: stale platform activity."
CAND_0086022,3,1.20475953,"Sarvam AI role Senior Applied Scientist; 5.3 years total. Relevant fit comes from Senior Applied Scientist at Sarvam AI: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Additional evidence: Senior ML Engineer - Search & Ranking at Uber: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Rank is based on shipped retrieval/ranking work rather than skill-list claims."
CAND_0046525,4,1.19021020,"Senior Machine Learning Engineer at Genpact AI, with 6.1 years of experience. The rank is driven by Senior Machine Learning Engineer at LinkedIn: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Supporting signal: Senior Machine Learning Engineer at Genpact AI: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Main concern: 60-day notice period."
CAND_0094759,5,1.18177799,"8.6 years in the profile and currently Lead AI Engineer at Meta. Key career evidence is Senior NLP Engineer at Apple: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. The profile also shows Lead AI Engineer at Meta: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Main concern: stale platform activity."
CAND_0077337,6,1.17409617,"Staff Machine Learning Engineer at Paytm, with 7.0 years of experience. The rank is driven by Senior NLP Engineer at Razorpay: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). Supporting signal: Senior NLP Engineer at Glance: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Main concern: 60-day notice period."
CAND_0046064,7,1.16992330,"8.9 years; Senior NLP Engineer at Salesforce. Strongest evidence: Lead AI Engineer at Verloop.io: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Also, Senior ML Engineer - Search & Ranking at Amazon: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing - embedding generation (using a fine-tuned BGE-large) - Pinecone retrieval - learning-to-rank re-scoring (XGBoost) - behavioral-signal. This fits the hands-on search/ranking and evaluation mandate."
CAND_0010685,8,1.16322400,"NLP Engineer at Rephrase.ai, with 6.7 years of experience. The rank is driven by Machine Learning Engineer at Mad Street Den: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Supporting signal: Search Engineer at Mad Street Den: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. The production and evaluation evidence is strong for this AI-engineering shortlist."
CAND_0005649,9,1.11761220,"Senior Data Scientist at Sarvam AI, with 7.4 years of experience. The rank is driven by Senior Data Scientist at Sarvam AI: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Supporting signal: Search Engineer at Glance: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Main concern: 90-day notice period."
CAND_0080766,10,1.09822273,"Salesforce role Staff Machine Learning Engineer; 8.8 years total. Relevant fit comes from Senior Machine Learning Engineer at Haptik: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). Additional evidence: Staff Machine Learning Engineer at Aganitha: Owned the search and discovery experience end-to-end at a consumer product, from how content is represented internally through to how the most relevant results appear for each user's intent. Rank is based on shipped retrieval/ranking work rather than skill-list claims."
