candidate_id,rank,title_ok,company_ok,years_ok,notice_ok,sentence_count,reasoning
CAND_0081846,1,True,True,True,True,2,"Razorpay role Lead AI Engineer; 6.7 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0041611,2,True,True,True,True,2,"6.4 years in the profile and currently Staff Machine Learning Engineer at Locobuzz, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: stale platform activity."
CAND_0086022,3,True,True,True,True,2,"Sarvam AI role Senior Applied Scientist; 5.3 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0046525,4,True,True,True,True,2,"Senior Machine Learning Engineer at Genpact AI, with 6.1 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0094759,5,True,True,True,True,2,"8.6 years in the profile and currently Lead AI Engineer at Meta, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: stale platform activity."
CAND_0077337,6,True,True,True,True,2,"Staff Machine Learning Engineer at Paytm, with 7.0 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0046064,7,True,True,True,True,2,"8.9 years; Senior NLP Engineer at Salesforce, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0010685,8,True,True,True,True,2,"NLP Engineer at Rephrase.ai, with 6.7 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0005649,9,True,True,True,True,2,"Senior Data Scientist at Sarvam AI, with 7.4 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0080766,10,True,True,True,True,2,"Salesforce role Staff Machine Learning Engineer; 8.8 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0008425,11,True,True,True,True,2,"Senior NLP Engineer at Ola, with 7.8 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0018499,12,True,True,True,True,2,"7.2 years in the profile and currently Senior Machine Learning Engineer at Zomato, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0092278,13,True,True,True,True,2,"Microsoft role Senior NLP Engineer; 6.8 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0060054,14,True,True,True,True,2,"Mad Street Den role AI Engineer; 6.4 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0030953,15,True,True,True,True,2,"Search Engineer at Nykaa, with 7.8 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0086151,16,True,True,True,True,2,"7.7 years in the profile and currently Recommendation Systems Engineer at Wysa, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0061265,17,True,True,True,True,2,"Recommendation Systems Engineer at Zoho, with 6.6 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0043228,18,True,True,True,True,2,"6.8 years; Applied ML Engineer at Zoho, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0057563,19,True,True,True,True,2,"6.8 years in the profile and currently NLP Engineer at Locobuzz, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0005260,20,True,True,True,True,2,"5.2 years; Senior NLP Engineer at Netflix, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0081686,21,True,True,True,True,2,"Netflix role Search Engineer; 6.0 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0044883,22,True,True,True,True,2,"6.3 years in the profile and currently AI Engineer at Mad Street Den, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0053695,23,True,True,True,True,2,"5.8 years in the profile and currently Recommendation Systems Engineer at Meesho, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0028793,24,True,True,True,True,2,"Search Engineer at Google, with 7.2 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0013613,25,True,True,True,True,2,"Machine Learning Engineer at Adobe, with 4.7 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0051292,26,True,True,True,True,2,"5.2 years; Applied ML Engineer at Freshworks, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0079387,27,True,True,True,True,2,"6.9 years in the profile and currently AI Engineer at Microsoft, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0027691,28,True,True,True,True,2,"6.5 years in the profile and currently NLP Engineer at Haptik, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0071974,29,True,True,True,True,2,"Netflix role Senior AI Engineer; 7.8 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0070398,30,True,True,True,True,2,"Genpact AI role Machine Learning Engineer; 7.2 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0044222,31,True,True,True,True,2,"PolicyBazaar role AI Engineer; 7.7 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
