candidate_id,rank,score,score_evidence_only,semantic_fit_score,score_evidence,score_supporting,score_fit,score_behavior,score_penalty,career_core,relevant_career_roles,relevant_career_months,total_career_months,consulting_months,product_months,product_company_history,title_trajectory,job_stability,skill_corroboration,negative_flags,anomaly_flags,anomaly_confidence,anomaly_action,semantic_model,semantic_top_concepts
CAND_0081846,1,1.12451608,1.21510470,0.85275022,0.94500000,0.05690000,0.18204000,0.03116470,0.00000000,14,2,79,79,0,79,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0041611,2,1.10452420,1.21246417,0.78070431,0.98250000,0.05090000,0.17060000,0.00846417,0.00000000,17,3,75,75,0,75,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0046525,3,1.09448906,1.19021020,0.80732563,0.94750000,0.02880000,0.18200000,0.03191020,0.00000000,13,2,73,73,0,73,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0046064,4,1.09064040,1.16992330,0.85279171,0.90500000,0.06330000,0.17172000,0.02990330,0.00000000,13,3,106,106,0,106,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0094759,5,1.08224577,1.18177799,0.78364910,0.94750000,0.04080000,0.18096000,0.01251799,0.00000000,13,3,101,101,0,101,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0086022,6,1.06563558,1.14475953,0.82826371,0.96750000,0.03240000,0.17700000,0.02785953,0.06000000,13,2,63,63,0,63,1.0,0.5000,1.0000,0.4000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0010685,7,1.06103687,1.16322400,0.75447547,0.91466667,0.04530000,0.17676000,0.02649733,0.00000000,14,3,51,79,0,79,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0077337,8,1.05987077,1.17409617,0.71719458,0.91250000,0.04970000,0.17941500,0.03248117,0.00000000,14,4,83,83,0,83,1.0,0.6250,0.9375,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0005649,9,1.03594490,1.11761220,0.79094301,0.84866667,0.05990000,0.18050000,0.02854553,0.00000000,11,2,34,88,0,88,1.0,0.6250,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0008425,10,1.02150040,1.08282680,0.83752119,0.81300000,0.07200000,0.16876000,0.02906680,0.00000000,10,3,92,92,0,92,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0018499,11,1.00689200,1.07636180,0.79848259,0.80733333,0.05220000,0.18600000,0.03082847,0.00000000,11,3,86,86,0,86,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0080766,12,0.99826251,1.09822273,0.69838183,0.85250000,0.04370000,0.17950000,0.02252273,0.00000000,14,4,105,105,0,105,1.0,0.6250,1.0000,0.6000,research_only,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0092278,13,0.99325127,1.05008283,0.82275659,0.83333333,0.03120000,0.17800000,0.00754950,0.00000000,14,3,80,80,0,80,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0060054,14,0.97545745,1.04002550,0.78175328,0.79100000,0.04650000,0.18204000,0.02048550,0.00000000,12,3,76,76,0,76,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0086151,15,0.96488494,1.01770270,0.80643168,0.78400000,0.03870000,0.17004000,0.02496270,0.00000000,12,3,91,91,0,91,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0061265,16,0.95995601,1.01365013,0.79887364,0.77566667,0.03870000,0.17150000,0.02778347,0.00000000,10,2,42,78,0,78,1.0,0.3750,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;semantic retrieval and information retrieval;end-to-end ownership
CAND_0030953,17,0.95422190,1.02652183,0.73732210,0.78100000,0.05270000,0.17267000,0.02015183,0.00000000,13,4,85,92,0,92,1.0,0.5000,0.9950,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0057563,18,0.95259369,1.00900213,0.78336835,0.78400000,0.02670000,0.17554000,0.02276213,0.00000000,12,3,80,80,0,80,1.0,0.3750,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0081686,19,0.95081794,1.00532857,0.78728606,0.78400000,0.03630000,0.16110000,0.02392857,0.00000000,12,3,71,71,0,71,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0053695,20,0.94527525,1.00136310,0.77701171,0.76666667,0.03570000,0.17172000,0.02727643,0.00000000,14,3,68,68,0,68,1.0,0.5000,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0043228,21,0.94511570,1.01169627,0.74537400,0.77566667,0.03870000,0.17421000,0.02311960,0.00000000,10,2,36,80,0,80,1.0,0.5000,0.8583,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;semantic retrieval and information retrieval;end-to-end ownership
CAND_0044883,22,0.94451466,1.00319000,0.76848866,0.76866667,0.04670000,0.16260000,0.02522333,0.00000000,11,2,46,74,0,74,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0028793,23,0.93733632,0.99347593,0.76891748,0.74800000,0.04670000,0.17004000,0.02873593,0.00000000,11,2,45,85,0,85,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0079387,24,0.92095163,0.97080993,0.77137672,0.72333333,0.04010000,0.17676000,0.03061660,0.00000000,9,2,41,81,0,81,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0005260,25,0.91951820,0.94542262,0.84180494,0.76733333,0.04140000,0.17300000,0.02368929,0.06000000,11,2,61,61,0,61,1.0,0.5000,1.0000,0.2000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0027691,26,0.90846825,0.94836617,0.78877450,0.69566667,0.03990000,0.18600000,0.02679950,0.00000000,10,2,49,76,0,76,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0051292,27,0.90821865,0.97736955,0.70076594,0.74100000,0.03770000,0.17172000,0.02694955,0.00000000,11,2,44,60,0,60,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,ranking evaluation and experimentation;semantic retrieval and information retrieval;end-to-end ownership
CAND_0071974,28,0.90570856,0.93305397,0.82367233,0.67633333,0.05610000,0.17026000,0.03036063,0.00000000,9,3,92,92,0,92,1.0,0.3750,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;semantic retrieval and information retrieval;end-to-end ownership
CAND_0070398,29,0.89134727,0.92353027,0.79479827,0.66866667,0.05730000,0.17004000,0.02752360,0.00000000,10,3,85,85,0,85,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,ranking evaluation and experimentation;production scale and operations;semantic retrieval and information retrieval
