rank,candidate_id,score,evidence_only,semantic_score,semantic_model,current_title,current_company,years,location,country,career_core,relevant_roles,relevant_months,total_months,title_relevant,experience_fit,location_fit,behavior_fit,notice_fit,job_stability,title_trajectory,skill_corroboration,keyword_stuffer,consulting_only,cv_only,research_only,negative_flags,anomaly_flags,anomaly_action,top_concepts,reasoning,strengths,concerns,skills,career_summary
1,CAND_0081846,1.121631338164911,1.2151046999999997,0.8412112526596449,local-sentence-transformer,Lead AI Engineer,Razorpay,6.7,"Jaipur, Rajasthan",India,14,2,79,79,True,1.0,0.82,0.8904200000000001,1.0,1.0,0.5,0.8,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Razorpay role Lead AI Engineer; 6.7 years total. Relevant fit comes from Lead AI Engineer at Razorpay: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Additional evidence: Senior Machine Learning Engineer at Paytm: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). Rank is based on shipped retrieval/ranking work rather than skill-list claims. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Lead AI Engineer at Razorpay: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight | Senior Machine Learning Engineer at Paytm: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain) | relevant work spans 2 roles and about 6 years",,"Data Science, Information Retrieval, LlamaIndex, pgvector, Forecasting, Learning to Rank, Elasticsearch, PyTorch, Vector Search, scikit-learn","Lead AI Engineer at Razorpay: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an | Senior Machine Learning Engineer at Paytm: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense ve"
2,CAND_0041611,1.116559145825629,1.2124641666666665,0.8288440833025164,local-sentence-transformer,Staff Machine Learning Engineer,Locobuzz,6.4,Austin,USA,17,3,75,75,True,1.0,0.3,0.24183333333333334,1.0,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;vector search infrastructure,"6.4 years in the profile and currently Staff Machine Learning Engineer at Locobuzz. Key career evidence is Staff Machine Learning Engineer at Locobuzz: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. The profile also shows Senior Applied Scientist at Genpact AI: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). Main concern: stale platform activity. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Staff Machine Learning Engineer at Locobuzz: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight | Senior Applied Scientist at Genpact AI: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain) | relevant work spans 3 roles and about 6 years",stale platform activity | location/relocation fit is weak,"LlamaIndex, Prompt Engineering, PyTorch, Qdrant, NLP, Weaviate, GANs, BM25, Fine-tuning LLMs, OpenSearch","Staff Machine Learning Engineer at Locobuzz: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an | Senior Applied Scientist at Genpact AI: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense ve | Staff Machine Learning Engineer at Wysa: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy "
3,CAND_0046525,1.0978354244698636,1.1902102,0.8207110978794538,local-sentence-transformer,Senior Machine Learning Engineer,Genpact AI,6.1,"Pune, Maharashtra",India,13,2,73,73,True,1.0,1.0,0.9117200000000002,0.75,1.0,0.5,0.4,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;vector search infrastructure,"Senior Machine Learning Engineer at Genpact AI, with 6.1 years of experience. The rank is driven by Senior Machine Learning Engineer at LinkedIn: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Supporting signal: Senior Machine Learning Engineer at Genpact AI: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Main concern: 60-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior Machine Learning Engineer at LinkedIn: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight | Senior Machine Learning Engineer at Genpact AI: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38% | relevant work spans 2 roles and about 6 years",60-day notice period,"Elasticsearch, Redux, LangChain, Machine Learning, LlamaIndex, Information Retrieval, TensorFlow, LLMs, NLP, Sentence Transformers","Senior Machine Learning Engineer at Genpact AI: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy  | Senior Machine Learning Engineer at LinkedIn: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an"
4,CAND_0094759,1.0915955963289585,1.1817779895316918,0.8210484167207585,local-sentence-transformer,Lead AI Engineer,Meta,8.6,"Mumbai, Maharashtra",India,13,3,101,101,True,0.88,1.0,0.3576568437626202,1.0,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;candidate-role matching,"8.6 years in the profile and currently Lead AI Engineer at Meta. Key career evidence is Senior NLP Engineer at Apple: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. The profile also shows Lead AI Engineer at Meta: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Main concern: stale platform activity. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior NLP Engineer at Apple: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight | Lead AI Engineer at Meta: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38% | relevant work spans 3 roles and about 8 years",stale platform activity,"Prompt Engineering, scikit-learn, Hugging Face Transformers, Learning to Rank, Semantic Search, Qdrant, Fine-tuning LLMs, Agile, Vector Search, TTS","Lead AI Engineer at Meta: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy  | Senior NLP Engineer at Apple: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an | Senior Applied Scientist at Locobuzz: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy "
5,CAND_0046064,1.0882465445240699,1.1699233,0.8432162780962795,local-sentence-transformer,Senior NLP Engineer,Salesforce,8.9,"Coimbatore, Tamil Nadu",India,13,3,106,106,True,0.88,0.58,0.85438,1.0,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"8.9 years; Senior NLP Engineer at Salesforce. Strongest evidence: Lead AI Engineer at Verloop.io: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Also, Senior ML Engineer - Search & Ranking at Amazon: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing - embedding generation (using a fine-tuned BGE-large) - Pinecone retrieval - learning-to-rank re-scoring (XGBoost) - behavioral-signal. This fits the hands-on search/ranking and evaluation mandate. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Lead AI Engineer at Verloop.io: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight | Senior ML Engineer - Search & Ranking at Amazon: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing - embedding generation (using a fine-tuned BGE-large) - Pinecone retrieval - learning-to-rank re-scoring (XGBoost) - behavioral-signal | relevant work spans 3 roles and about 8 years",,"Python, Image Classification, OpenCV, Pinecone, Haystack, Six Sigma, TTS, Diffusion Models, BM25, YOLO","Senior NLP Engineer at Salesforce: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from re | Lead AI Engineer at Verloop.io: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an | Senior ML Engineer — Search & Ranking at Amazon: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-s"
6,CAND_0077337,1.0810956339467777,1.1740961666666667,0.8020940357871106,local-sentence-transformer,Staff Machine Learning Engineer,Paytm,7.0,"Kochi, Kerala",India,14,4,83,83,True,1.0,0.82,0.9280333333333333,0.75,0.9375,0.625,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Staff Machine Learning Engineer at Paytm, with 7.0 years of experience. The rank is driven by Senior NLP Engineer at Razorpay: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). Supporting signal: Senior NLP Engineer at Glance: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Main concern: 60-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior NLP Engineer at Razorpay: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain) | Senior NLP Engineer at Glance: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38% | relevant work spans 4 roles and about 6 years",60-day notice period,"GANs, Semantic Search, QLoRA, pgvector, Pinecone, Feature Engineering, BM25, Information Retrieval, LLMs, OpenCV","Staff Machine Learning Engineer at Paytm: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combined collaborative filtering (matrix fact | Senior NLP Engineer at Razorpay: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense ve | Senior NLP Engineer at Glance: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy "
7,CAND_0010685,1.074806917763895,1.1632239999999998,0.8095556710555806,local-sentence-transformer,NLP Engineer,Rephrase.ai,6.7,"Kolkata, West Bengal",India,14,3,51,79,True,1.0,0.58,0.7570666666666666,1.0,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"NLP Engineer at Rephrase.ai, with 6.7 years of experience. The rank is driven by Machine Learning Engineer at Mad Street Den: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Supporting signal: Search Engineer at Mad Street Den: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. The production and evaluation evidence is strong for this AI-engineering shortlist. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Machine Learning Engineer at Mad Street Den: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Search Engineer at Mad Street Den: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | relevant work spans 3 roles and about 4 years",,"Prompt Engineering, LlamaIndex, Deep Learning, Statistical Modeling, PyTorch, Information Retrieval, ASR, Elasticsearch, MLflow, Java","NLP Engineer at Rephrase.ai: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | NLP Engineer at Microsoft: Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use | Machine Learning Engineer at Mad Street Den: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
8,CAND_0086022,1.0666054904333095,1.1447595333333331,0.8321433617332383,local-sentence-transformer,Senior Applied Scientist,Sarvam AI,5.3,"Kolkata, West Bengal",India,13,2,63,63,True,0.88,0.82,0.7959866666666668,1.0,1.0,0.5,0.4,False,False,False,False,,skill_duration_exceeds_profile_experience:penalize,penalize,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Sarvam AI role Senior Applied Scientist; 5.3 years total. Relevant fit comes from Senior Applied Scientist at Sarvam AI: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Additional evidence: Senior ML Engineer - Search & Ranking at Uber: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Rank is based on shipped retrieval/ranking work rather than skill-list claims. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior Applied Scientist at Sarvam AI: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight | Senior ML Engineer - Search & Ranking at Uber: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38% | relevant work spans 2 roles and about 5 years",,"Vector Search, MLflow, Recommendation Systems, Databricks, Deep Learning, pgvector, Fine-tuning LLMs, Elasticsearch, QLoRA, Pinecone","Senior Applied Scientist at Sarvam AI: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an | Senior ML Engineer — Search & Ranking at Uber: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy "
9,CAND_0005649,1.0467195490036283,1.1176122,0.8340415960145137,local-sentence-transformer,Senior Data Scientist,Sarvam AI,7.4,"Delhi, Delhi",India,11,2,34,88,True,1.0,1.0,0.8155866666666666,0.5,1.0,0.625,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Senior Data Scientist at Sarvam AI, with 7.4 years of experience. The rank is driven by Senior Data Scientist at Sarvam AI: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Supporting signal: Search Engineer at Glance: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Main concern: 90-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior Data Scientist at Sarvam AI: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Search Engineer at Glance: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | has 2 directly relevant role in the career history",90-day notice period,"Haystack, Redis, Prompt Engineering, Object Detection, Deep Learning, TensorFlow, Fine-tuning LLMs, Recommendation Systems, QLoRA, OpenCV","Senior Data Scientist at Sarvam AI: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Recommendation Systems Engineer at Aganitha: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | Senior Data Scientist at Amazon: Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use"
10,CAND_0008425,1.0225315364644234,1.0828267999999999,0.841645745857694,local-sentence-transformer,Senior NLP Engineer,Ola,7.8,"Kolkata, West Bengal",India,10,3,92,92,True,1.0,0.58,0.83048,0.5,1.0,0.5,0.8,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Senior NLP Engineer at Ola, with 7.8 years of experience. The rank is driven by Senior NLP Engineer at Ola: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). Supporting signal: Lead AI Engineer at Amazon: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing - embedding generation (using a fine-tuned BGE-large) - Pinecone retrieval - learning-to-rank re-scoring (XGBoost) - behavioral-signal. Main concern: 90-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior NLP Engineer at Ola: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain) | Lead AI Engineer at Amazon: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing - embedding generation (using a fine-tuned BGE-large) - Pinecone retrieval - learning-to-rank re-scoring (XGBoost) - behavioral-signal | evaluation evidence: The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set",90-day notice period,"Learning to Rank, Qdrant, Weights & Biases, pgvector, Sentence Transformers, NLP, Haystack, TensorFlow, Python, Prompt Engineering",Senior NLP Engineer at Ola: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense ve | Senior ML Engineer — Search & Ranking at Zomato: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from re | Lead AI Engineer at Amazon: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-s
